problem_id,problem_text,answer
2464,"Найдите значение выражения $\dfrac{0,6}{1+\dfrac{1}{2} }$.",0.4
9013,"У бабушки 20 чашек: 8 с красными цветами, остальные с синими. Бабушка наливает чай в случайно выбранную чашку. Найдите вероятность того, что это будет чашка с синими цветами.",0.6
7107,"Набор полотенец, который стоил 240 рублей, продаётся со скидкой 5\%. Сколько рублей стоят два набора полотенец со скидкой?",456
2394,"Найдите значение выражения $\dfrac{11}{20} :0,55+\dfrac{3}{5}$.",1.6
7320,"В школе мальчики составляют~54\% числа всех учащихся. Сколько в~этой школе всего учащихся, если девочек в~ней на~60~человек меньше, чем мальчиков?",750
5185,Найдите корень уравнения $2\strut^{x-10} =\dfrac{1}{4} $.,8
4159,"Площадь поверхности прямоугольного параллелепипеда с рёбрами~$a$, $b$ и $c$ вычисляется по формуле~$S=2\left(ab+ac+bc\right)$. Найдите площадь поверхности прямоугольного параллелепипеда, если его рёбра имеют длины 2, 4 и 8.",112
8108,Найдите значение выражения $\tg 13^{\circ} \cdot \ctg 13^{\circ}$.,1
7856,"Работа постоянного тока (в джоулях) вычисляется по формуле \mbox{$A=I^2Rt$}, где $I$~--- сила тока (в~амперах), $R$~--- сопротивление (в омах), $t$~--- время (в~секундах). Пользуясь этой формулой, найдите $A$ (в джоулях), если $t=3$~c, $I=5$~А и $R=10$~Ом.",750
4559,Найдите значение выражения $\log_{2} 16-\log_{2} 4$.,2
5263,Найдите корень уравнения: $\left(\dfrac{1}{5} \right)^{5 - x} =125$.,8
7015,"Товар на распродаже уценили на 20\%, при этом он стал стоить 520~рублей. Сколько рублей стоил товар до распродажи?",650
7076,"В школе французский язык изучают 90~учащихся, что составляет 12\% от числа всех учащихся школы. Сколько учащихся в школе?",750
7032,Цена на электрический чайник была повышена на 17\% и составила 1521~рубль. Сколько рублей стоил чайник до повышения цены?,1300
8117,Для приготовления маринада для~огурцов на~1 литр воды требуется 18~г лимонной кислоты. Лимонная кислота продается в~пакетиках по~10~г. Какое наименьшее число пакетиков~нужно купить хозяйке для~приготовления 7~литров маринада?,13
8691,"Вероятность того, что батарейка бракованная, равна 0,4. Покупатель в магазине выбирает случайную упаковку, в которой две таких батарейки. Найдите вероятность того, что обе батарейки окажутся неисправными.",0.16
1409,"Вычеркните в числе 65031029 три цифры так, чтобы получившееся число делилось на 15. В ответе укажите какое-нибудь одно получившееся число.",50310
5879,Найдите значение выражения $\dfrac{4\strut^{8}}{64\strut^{2}}$.,16
107,"\parindent=0

В таблице приведены данные о шести сумках.
\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}X|c|c|c|c|} \hline
Номер сумки & Длина (см) & Высота (см) & Ширина (см) & Масса (кг) \\ \hline
1 & 56 & 25 & 15 & 8,1 \\ \hline
2 & 47 & 30 & 16 & 9,2 \\ \hline
3 & 51 & 39 & 22 & 8,5 \\ \hline
4 & 53 & 34 & 17 & 9,4 \\ \hline
5 & 45 & 37 & 29 & 7,6 \\ \hline
6 & 42 & 32 & 12 & 11,3 \\ \hline
\end{tabularx}
\end{center}


По правилам авиакомпании в ручную кладь может быть взята сумка, размеры которой не превышают 55~см в длину, 40~см высоту, 20~см в ширину и масса которой не превышает 10~кг. Какие сумки можно взять в ручную кладь по правилам этой авиакомпании?


В ответе укажите номера выбранных сумок без пробелов, запятых и других дополнительных символов.",24
10650,"Взяли несколько досок и распилили их. Всего сделали 11 поперечных распилов, в итоге получилось 16 кусков. Сколько досок взяли?",5
4395,"Найдите $\cos x$, если $\sin x=\dfrac{\sqrt{21} }{5} $ и $0^\circ <x<90^\circ$.",0.4
7922,"Сумма углов правильного выпуклого многоугольника вычисляется по формуле $\Sigma =\left(n-2\right){\rm \pi }$, где $n$~--- количество его углов. Пользуясь этой формулой, найдите $n$, если $\Sigma =15{\rm \pi }$.",17
5818,Найдите значение выражения $\dfrac{5\strut^{-10} \cdot 5\strut^{5} }{5\strut^{-9} } $.,625
9721,"Число $m$ равно $\sqrt{2,2} $.

Каждому из четырёх чисел в левом столбце соответствует отрезок, которому оно принадлежит. Установите соответствие между числами и отрезками из правого столбца.


\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{c}{ЧИСЛА} & \multicolumn{1}{c}{ОТРЕЗКИ} \\
А) $3+m$ & 1) $\left[ 0;1 \right]$ \\ 
Б) $\dfrac{2}{m} $ & 2) $\left[ 1;2 \right]$ \\ 
В) $\sqrt{2-m} $ & 3) $\left[ 2;3 \right]$ \\ 
Г) $m^{2} $ & 4) $\left[ 4;5 \right]$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий отрезку номер.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г  \\ \hline & & &  \\ \hline\end{tabular}\end{center}\vspace{\medskip}",4213
2669,Найдите значение выражения $\dfrac{29}{7} :\left(\dfrac{2}{7} +\dfrac{3}{4} \right)$.,4
11711,"В параллелограмме $ABCD$ диагонали перпендикулярны. Сумма углов $A$ и~$C$ равна $120^\circ$, $AB=44$. Найдите $BD$.",44
59,"В таблице представлены данные о стоимости некоторой модели смартфона в различных магазинах.

\begin{center}
\begin{tabularx}{\textwidth}{|X|>{\centering\arraybackslash}X|} \hline
\multicolumn{1}{c}{Магазин} & Стоимость смартфона (руб.) \\ \hline
ОК-Техника & 8950 \\ \hline
Скоростной & 8800 \\ \hline
Магия связи & 9150 \\ \hline
И-фон & 8949 \\ \hline
Смартфон и Ко & 8875 \\ \hline
Прогресс-Э & 8799 \\ \hline
999 телефонов & 9210 \\ \hline
Макропоиск & 8749 \\ \hline
Вселенная телефонов & 8948 \\ \hline
\end{tabularx}
\end{center}


Найдите наименьшую стоимость смартфона среди представленных предложений. Ответ дайте в рублях.",8749
7004,"Товар на распродаже уценили на 40\%, при этом он стал стоить 810~рублей. Сколько рублей стоил товар до распродажи?",1350
6123,"Найдите четырёхзначное число, кратное 44, любые две соседние цифры которого отличаются на 1. В ответе укажите какое-нибудь одно такое число.",1232;3432;5456;7876;5676
7012,"Товар на распродаже уценили на 45\%, при этом он стал стоить 880~рублей. Сколько рублей стоил товар до распродажи?",1600
12208,"Четырёхзначное число $A$ состоит из цифр 1, 4, 6, 9, а четырёхзначное число $B$~--- из цифр 2, 3, 8, 9. Известно, что $B=2A$. Найдите число $A$. В ответе укажите какое-нибудь одно такое число, большее 1500.",1649; 1946; 1964
5896,Найдите значение выражения $\dfrac{10\strut^{11} \cdot 5\strut^{10} }{50\strut^{9} } $.,500
7309,"В школе девочки составляют~52\% числа всех учащихся. Сколько в~этой школе девочек, если их~на~18~человек больше, чем мальчиков?",234
7743,"Длина биссектрисы $l_{c} $, проведённой к стороне $c$ треугольника со сторонами $a$, $b$ и $c$, вычисляется по формуле $l_{c} =\dfrac{1}{a+b} \sqrt{ab\left(\left(a+b\right)^{2} -c^{2} \right)} $. Найдите биссектрису~$l_{c} $, если $a=2$, $b=8$ и $c=5\sqrt{3} $.",2
11989,"Установите соответствие между величинами и их возможными значениями: к каждому элементу первого столбца подберите соответствующий элемент из второго столбца.
\begin{center}
\begin{tabular}{p{8cm}p{0.1cm}p{4.9cm}}
\multicolumn{1}{c}{ВЕЛИЧИНЫ} & & ЗНАЧЕНИЯ \\ 
А) объём железнодорожной цистерны & 1) & 90 м^3 \\ 
Б) объём воздушного шарика & 2) & 2600 м^3 \\ 
В) объём воды в олимпийском бассейне & 3) & 4000 см^3 \\ 
\end{tabular}
\end{center}

В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|*{3}{c|}} \hline
А & Б & В  \\ \hline
 &  &   \\ \hline
\end{tabular}",132
9575,"В таблице даны результаты олимпиад по географии и биологии в~11~<<А>>~классе.

\begin{center}
\begin{tabular}{|c|c|c|} \hline
Номер учащегося & Балл по географии & Балл по биологии \\\hline
1 & 97 & 76 \\\hline
2 & 44 & 84 \\\hline
3 & 60 & 36 \\\hline
4 & 61 & 74 \\\hline
5 & 45 & 93 \\\hline
6 & 88 & 30 \\\hline
7 & 36 & 81 \\\hline
8 & 37 & 32 \\\hline
9 & 100 & 62 \\\hline
\end{tabular}
\end{center}

Похвальные грамоты дают тем школьникам, у кого суммарный балл по двум олимпиадам больше 150 или хотя бы по одному предмету набрано не меньше 80 баллов. 

В ответе укажите номера учащихся 11~<<А>>, набравших меньше 80 баллов по географии и получивших похвальные грамоты, без пробелов, запятых и других дополнительных символов.",27
10448,"Радиус вписанной в прямоугольный треугольник окружности вычисляется по формуле $r=\dfrac{a+b-c}{2}$, где $a$ и $b$~--- катеты, а $c$~--- гипотенуза. 
Пользуясь этой формулой, найдите $r$, если $a=88$, $b=105$ и $c=137$.",28
13509,Путешественник  переплыл море на яхте со средней скоростью 12 км/ч. Обратно он летел на спортивном самолете со скоростью 276 км/ч. Найдите среднюю скорость путешественника на протяжении всего пути. Ответ дайте в км/ч.,23
9698,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и~их решениями.


\begin{center}
\hyphenpenalty=10000\renewcommand{\arraystretch}{1.5}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}}
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $x^{2} -6x-40\le 0$ & 1) $x \le -8$ или $x \ge -5$ \\ 
Б) $x^{2} -13x+40\ge 0$ & 2) $-4\le x \le 10$ \\ 
В) $x^{2} +6x-40\le 0$ & 3) $x \le 5$ или $x \ge 8$ \\ 
Г) $x^{2} +13x+40\ge 0$ & 4) $-10\le x \le 4$ \\ 
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & &  \\ \hline\end{tabular}\end{center}\vspace{\medskip}",2341
4367,Найдите значение выражения $\left(\sqrt{28} -\sqrt{7} \right)\cdot \sqrt{7} $.,7
8565,"Решите уравнение $x^{2} =2x$. Если уравнение имеет более одного корня, в ответе укажите больший из них.",2
4639,"В нескольких эстафетах, которые проводились в школе, команды показали следующие результаты:

\vspace{\medskip}

\begin{center}
\begin{tabular}{|c|c|c|c|} \hline
Команда & I эстафета, & II эстафета, & III эстафета, \\ 
 & баллы & баллы & баллы \\ \hline
 «Непобедимые» & 2 & 1 & 1 \\ \hline
 «Прорыв» & 3 & 4 & 2 \\ \hline
 «Чемпионы» & 1 & 2 & 4 \\ \hline
 «Тайфун» & 4 & 3 & 3 \\ \hline
\end{tabular}
\end{center}

\vspace{\medskip}

При подведении итогов для каждой команды баллы по всем эстафетам суммируются. Побеждает команда, набравшая наибольшее количество баллов. Какое итоговое место заняла команда «Чемпионы»?",3
8172,На день рождения полагается дарить букет из нечётного числа цветов. Пионы стоят 45 рублей за штуку. У Вани есть 430 рублей. Из какого наибольшего числа пионов он может купить букет Маше на день рождения?,9
5172,Найдите корень уравнения $- 3\left(8+x\right)+6x= -3$.,7
1209,"В чемпионате по гимнастике участвуют 80 спортсменок: 23~из~Аргентины,29~из~Бразилии, остальные~---~из~Парагвая. Порядок, в котором выступают гимнастки, определяется жребием. Найдите вероятность того, что спортсменка, выступающая первой, окажется~из~Парагвая.",0.35
3136,Найдите значение выражения $\left(3\sqrt{2} -\sqrt{10} \right)\left(3\sqrt{2} +\sqrt{10} \right)$.,8
2991,"Перевести температуру из шкалы Фаренгейта в шкалу Цельсия позволяет формула $t_{C} =\dfrac{5}{9} \left(t_{F} -32\right)$, где $t_{C}$ --- температура в градусах по шкале Цельсия, $t_{F}$ --- температура в градусах по шкале Фаренгейта. Скольким градусам по шкале Цельсия соответствует 149 градусов по шкале Фаренгейта?",65
98,"\parindent=0

В таблице приведены данные о шести сумках.

\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}X|c|c|c|c|} \hline
Номер сумки & Длина (см) & Высота (см) & Ширина (см) & Масса (кг) \\ \hline
1 & 52 & 38 & 15 & 8,5 \\ \hline
2 & 50 & 35 & 24 & 9,1 \\ \hline
3 & 62 & 49 & 16 & 9,6 \\ \hline
4 & 46 & 32 & 15 & 11,5 \\ \hline
5 & 48 & 31 & 18 & 9,8 \\ \hline
6 & 65 & 47 & 12 & 7,4 \\ \hline
\end{tabularx}
\end{center}

По правилам авиакомпании в ручную кладь может быть взята сумка, размеры которой не превышают 55~см в длину, 40~см высоту, 20~см в ширину и масса которой не превышает 10~кг. Какие сумки можно взять в ручную кладь по правилам этой авиакомпании?

В ответе укажите номера выбранных сумок без пробелов, запятых и других дополнительных символов.",15
10652,"Взяли несколько досок и распилили их. Всего сделали 5 поперечных распилов, в итоге получилось 23 куска. Сколько досок взяли?",18
13593,"Теплоход, скорость которого в неподвижной воде равна 24 км/ч, проходит по течению реки и после стоянки возвращается в исходный пункт. Скорость течения равна 4 км/ч, стоянка длится 3 часа, а в исходный пункт теплоход возвращается через 36 часов после отправления из него. Сколько километров прошёл теплоход за весь рейс?",770
3657,"В начале года число абонентов телефонной компании «Восток» составляло 200 тыс. человек, а в конце года их стало 220 тыс. человек. На сколько процентов увеличилось за год число абонентов этой компании?",10
8135,Для приготовления маринада для~огурцов на~1 литр воды требуется 12~г лимонной кислоты. Лимонная кислота продается в~пакетиках по~10~г. Какое наименьшее число пакетиков нужно купить хозяйке для~приготовления 8~литров маринада?,10
4977,"Установите соответствие между величинами и их возможными значениями: к каждому элементу первого столбца подберите соответствующий элемент из второго столбца.

\vspace{\medskip}

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
ВЕЛИЧИНЫ & ЗНАЧЕНИЯ \\
А) масса футбольного мяча & 1) 18 кг \\
Б) масса дождевой капли & 2) 2,8 т \\
В) масса взрослого бегемота & 3) 20 мг \\
Г) масса стиральной машины & 4) 750 г \\
\end{tabular}\end{center}

\vspace{\medskip}

В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",4321
8171,На день рождения полагается дарить букет из нечётного числа цветов. Хризантемы стоят 65 рублей за штуку. У Вани есть 560 рублей. Из какого наибольшего числа хризантем он может купить букет Маше на день рождения?,7
7878,"Потенциальная энергия тела (в~джоулях) в поле тяготения Земли вблизи поверхности вычисляется по формуле $E=mgh$, где где $m$~--- масса тела (в~килограммах), $g$~--- гравитационная постоянная, а $h$~--- высота (в~метрах), на которой находится это тело, относительно условного нуля. Пользуясь этой формулой, найдите $m$ (в~килограммах), если  $g=9,8$~м/с$^2$, $h=5$~м, а $E=196$~Дж.",4
1022,"Найдите корень уравнения $2^{5x\; -\; 6} \cdot 2^{1\; -\; 4x} =1$.

 \textbf{}",5
5451,"Вероятность того, что новая шариковая ручка пишет плохо или вовсе не~пишет, равна 0,11. Покупатель, не~глядя, берет одну шариковую ручку из~коробки. Найдите вероятность того, что эта ручка пишет хорошо.",0.89
8409,"Стоимость полугодовой подписки на журнал составляет 730 рублей, а стоимость одного номера журнала --- 33 рубля. За полгода Аня купила 25 номеров журнала. На сколько рублей меньше она бы потратила, если бы подписалась на журнал?",95
1418,"Вычеркните в числе 58918749 три цифры так, чтобы получившееся число делилось на 18. В ответе укажите какое-нибудь одно получившееся число.",58914; 59184; 89874
7553,"Среднее гармоническое трёх чисел $a$, $b$ и $c$ вычисляется по формуле $h=\left(\dfrac{\dfrac{1}{a} +\dfrac{1}{b} +\dfrac{1}{c} }{3} \right)^{-1}$. Найдите среднее гармоническое чисел $\dfrac{1}{3}$, $\dfrac{1}{4}$ и $\dfrac{1}{5}$.",0.25
8441,"Установка двух счётчиков воды (холодной и горячей) стоит 2500 рублей. До установки счётчиков за воду платили 1700 рублей ежемесячно. После установки счётчиков ежемесячная оплата воды стала составлять 1000 рублей. Через какое наименьшее количество месяцев экономия по оплате воды превысит затраты на установку счётчиков, если тарифы на воду не изменятся?",4
1225,"В чемпионате по гимнастике участвуют 60 спортсменок: 23 из Испании, 16 из Португалии, остальные~--- из Италии. Порядок, в котором выступают гимнастки, определяется жребием. Найдите вероятность того, что спортсменка, выступающая первой, окажется из Италии.

 \textbf{}",0.35
3001,"Перевести температуру из шкалы Фаренгейта в шкалу Цельсия позволяет формула $t_{\textrm{C}} =\dfrac{5}{9} \left(t_{\textrm{F}} -32\right)$, где $t_{\textrm{C}}$~--- температура в градусах по шкале Цельсия, $t_{\textrm{F}}$ --- температура в градусах по шкале Фаренгейта. Скольким градусам по шкале Цельсия соответствует 410 градусов по шкале Фаренгейта?",210
7879,"Потенциальная энергия тела (в~джоулях) в поле тяготения Земли вблизи поверхности вычисляется по формуле $E=mgh$, где где $m$~--- масса тела (в~килограммах), $g$~--- гравитационная постоянная, а $h$~--- высота (в~метрах), на которой находится это тело, относительно условного нуля. Пользуясь этой формулой, найдите $m$ (в~килограммах), если  $g=9,8$~м/с$^2$, $h=0,5$~м, а $E=49$~Дж.",10
4642,"В нескольких эстафетах, которые проводились в школе, команды показали следующие результаты:

\vspace{\medskip}

\begin{center}
\begin{tabular}{|c|c|c|c|} \hline
Команда & I эстафета, & II эстафета, & III эстафета, \\ 
 & баллы & баллы & баллы \\ \hline
 «Непобедимые» & 1 & 3 & 2 \\ \hline
 «Прорыв» & 4 & 1 & 4 \\ \hline
 «Чемпионы» & 3 & 4 & 3 \\ \hline
 «Тайфун» & 2 & 2 & 1 \\ \hline
\end{tabular}
\end{center}

\vspace{\medskip}

При подведении итогов для каждой команды баллы по всем эстафетам суммируются, побеждает команда, набравшая наибольшее количество баллов. Какое итоговое место заняла команда «Чемпионы»?",1
1400,"Вычеркните в числе 53164185 три цифры так, чтобы получившееся число делилось на 12. В ответе укажите какое-нибудь одно получившееся число.",51648; 53148
4382,"Найдите значение выражения $\log_{2} 0,2+\log_{2} 80$.",4
2312,"Найдите значение выражения $\dfrac{3}{5} -1,2-\left(-\dfrac{3}{2} \right)$.",0.9
2865,Найдите значение выражения $5\cdot 10^{-1} +3\cdot 10^{2} +7\cdot 10 $.,370.5
5026,"В доме, в котором живёт Нина, 9~этажей и несколько подъездов. На~каждом этаже находится по~5 квартир. Нина живёт в квартире №~77. В~каком подъезде живёт Нина?",2
7243,"В период распродажи магазин снижал цены дважды: в первый раз на 20\%, во второй~--- на 15\%. Сколько рублей стал стоить чайник после второго снижения цен, если до начала распродажи он стоил 1400 рублей?",952
7785,"Чтобы перевести температуру из шкалы Цельсия в шкалу Фаренгейта, пользуются формулой $t_{F} =1,8t_{C} +32$, где $t_{C} $ --- температура в градусах по шкале Цельсия, $t_{F} $ --- температура в градусах по шкале Фаренгейта. Скольким градусам по шкале Фаренгейта соответствует 23 градуса по шкале Цельсия?",73.4
2569,Найдите значение выражения $\left(\dfrac{3}{10} -\dfrac{16}{25} \right)\cdot \dfrac{4}{17}$.,-0.08
6892,"Найдите значение выражения $\dfrac{7,7}{3,7-8,7}$.",-1.54
2546,Найдите значение выражения $\left(\dfrac{9}{16} +2\dfrac{3}{8} \right)\cdot 4$.,11.75
4980,"Установите соответствие между величинами и их возможными значениями: к каждому элементу первого столбца подберите соответствующий элемент из второго столбца.

\vspace{\medskip}

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
ВЕЛИЧИНЫ & ЗНАЧЕНИЯ \\
А) масса кухонного холодильника & 1) 3500 г \\
Б) масса автобуса & 2) 15 г \\
В) масса новорождённого ребёнка & 3) 18 т \\
Г) масса карандаша & 4) 38 кг \\
\end{tabular}\end{center}

\vspace{\medskip}

В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",4312
12050,"В очереди в школьный буфет стоят Вера, Соня, Вася, Денис и Аня. Вера стоит впереди Сони, но после Ани; Вася и Аня не стоят рядом; Денис не~находится ни рядом с Аней, ни с Верой, ни с Васей.
Выберите утверждения, которые верны при приведённом условии.

\vspace{\medskip}
\begin{tabular}{p{0.2cm}l} 
1) & Вася стоит впереди Дениса.\\ 
2) & Соня и Вася стоят рядом.\\ 
3) & Вера стоит позади Дениса.\\ 
4) & Аня стоит позади Васи.\\ 
\end{tabular}

\vspace{\medskip}

В ответе запишите номера выбранных утверждений без пробелов, запятых и~других дополнительных символов.",12
12041,"Найдите нечётное трёхзначное число, сумма цифр которого равна 11, а произведение цифр равно 36. В ответе укажите какое-нибудь одно такое число.",1433; 1343; 1334; 3134; 3143; 3314; 3413; 3341; 3431; 4133; 4313; 4331
10059,"Прямоугольник разбит на четыре маленьких прямоугольника двумя прямолинейными разрезами. Площади трёх из них, начиная с левого верхнего и далее по часовой стрелке равны 18, 12 и 20. Найдите площадь четвёртого прямоугольника.",30
3129,Найдите значение выражения $\left(\sqrt{13} -2\sqrt{3} \right)\left(\sqrt{13} +2\sqrt{3} \right)$.,1
7037,Цена на электрический чайник была повышена на 14\% и составила 1596~рублей. Сколько рублей стоил чайник до повышения цены?,1400
8723,"В кафе каждому посетителю приносят бесплатно один комплимент от заведения, которого нет в меню. Вероятность того, что в качестве комплимента от заведения принесут миндальное печенье, равна 0,1. Вероятность того, что в качестве комплимента принесут эклер, равна 0,15. Найдите вероятность того, что в качестве комплимента от заведения посетителю И. принесут одно из двух: миндальное печенье или эклер.",0.25
8652,"В кармане у Дани было четыре конфеты~--- <<Ласточка>>, <<Взлётная>>, <<Василёк>> и <<Грильяж>>, а также ключи от квартиры. Вынимая ключи, Даня случайно выронил из кармана одну конфету. Найдите вероятность того, что потерялась конфета <<Взлётная>>.",0.25
4308,"Площадь четырёхугольника можно вычислить по формуле~$S=\dfrac{1}{2} d_{1} d_{2} \sin { \alpha }$, где $d_{1} $ и $d_{2} $~--- длины диагоналей четырёхугольника, ${ \alpha }$~--- угол между диагоналями. Пользуясь этой формулой, найдите площадь~$S$, если $d_{1} =6$, $d_{2} =14$, a $\sin { \alpha }=\dfrac{6}{7} $.",36
12095,"В магазине квас на разлив можно купить в бутылках, причём стоимость кваса в бутылке складывается из стоимости самой бутылки и кваса, налитого в неё. Цена бутылки не зависит от её объёма. Бутылка кваса объёмом 1~литр стоит 42 рубля, объёмом 2 литра~--- 72 рубля. Сколько рублей будет стоить бутылка кваса объёмом 1,5 литра?",57
8625,"Вероятность того, что стекло мобильного телефона разобьётся при падении на твёрдую поверхность, равна 0,91. Найдите вероятность того, что при падении на твёрдую поверхность стекло мобильного телефона не разобьётся.",0.09
12064,"В доме всего семнадцать квартир с номерами от 1 до 17. В каждой квартире живёт не менее одного и не более четырёх человек. В квартирах с 1-й по 11-ю включительно живёт суммарно 13 человек, а в квартирах с 7-й по 17-ю включительно живёт суммарно 31 человек. Сколько всего человек живёт в этом доме?",37
8599,Найдите корень уравнения $\left(x-1\right)^2=\left(x+1\right)^2$.,0
4102,"Мощность постоянного тока (в~ваттах) вычисляется по формуле $P=I^{2} R$, где $I$~--- сила тока (в~амперах), $R$~--- сопротивление (в~омах). Пользуясь этой формулой, найдите~$P$ (в~ваттах), если $R=9$~Ом и $I=4$~А.",144
8524,Бегун пробежал 250 м за 25 секунд. Найдите среднюю скорость бегуна на дистанции. Ответ дайте в километрах в час.,36
7918,"Радиус вписанной в прямоугольный треугольник окружности вычисляется по формуле $r=\dfrac{a+b-c}{2}$, где $a$ и $b$~--- катеты, а $c$~--- гипотенуза. Пользуясь этой формулой, найдите $c$, если $a=12$, $b=35$ и $r=5$.",37
6822,Налог на доходы составляет 13\% от заработной платы. Заработная плата Ивана Кузьмича равна 9000 рублей. Какую сумму он получит после уплаты налога на доходы? Ответ дайте в рублях.,7830
4887,"В летнем лагере 165~детей и 23~воспитателя. В одном автобусе можно перевозить не более 44~пассажиров. Какое наименьшее количество автобусов понадобится, чтобы за один раз перевезти всех из~лагеря в~город?",5
7316,"В школе мальчики составляют~55\% числа всех учащихся. Сколько в~этой школе всего учащихся, если мальчиков в~ней на~60~человек больше, чем девочек?",600
7611,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и~их решениями.


\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $2\strut^{x} \ge 1$ & 1) $\left(- \infty ;- 1\right]$ \\ 
Б) $0,5\strut^{x} \ge 2$ & 2) $\left(- \infty ;0\right]$  \\ 
В) $0,5\strut^{x} \le 2$ & 3) $\left[- 1;+ \infty \right)$  \\ 
Г) $2\strut^{x} \le 1$ & 4) $\left[0;+ \infty \right)$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & &  \\ \hline\end{tabular}\end{center}\vspace{\medskip}",4132
