problem_id,problem_text,answer,hint
12275,"В таблице 1 приведены минимальные баллы ЕГЭ по четырём предметам, необходимые для подачи документов на факультеты 1--6.
\begin{flushright}\textit{Таблица 1}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}p{0.8in}|>{\centering\arraybackslash}p{0.6in}|c|c|>{\centering\arraybackslash}X|} \hline
\diaghead(3,-2){Предметтет}{Предмет}{Факультет} & русский язык & обществознание & история & иностранный язык \\ \hline
1 & 50 & 60 & 60 & 50 \\ \hline
2 & 27 & 42 & 32 & 40 \\ \hline
3 & 40 & 70 & 32 & 60 \\ \hline
4 & 36 & 42 & 50 & 22 \\ \hline
5 & 27 & 65 & 32 & 55 \\ \hline
6 & 27 & 42 & 60 & 22 \\ \hline
\end{tabularx}
\end{center}

В таблице 2 приведены данные о баллах ЕГЭ по пяти предметам абитуриента В.
\begin{flushright}\textit{Таблица 2}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|c|*{5}{@{}>{\centering\arraybackslash}X@{}|}} \hline
Предмет & русский язык & общество\-знание & история & английский язык & немецкий язык \\ \hline
Баллы & 68 & 65 & 58 & 64 & 40 \\ \hline
\end{tabularx}
\end{center}

Выберите факультеты, на которые может подавать документы абитуриент~В. В ответе укажите номера выбранных факультетов без пробелов, запятых и других дополнительных символов.",245,сравнение и отбор
5766,"Найдите значение выражения $1,26:1,4-0,5$.",0.4,умножить и вычесть
3205,Найдите значение выражения $5\strut^{\log_{5} 2+1}$.,10,степень суммы в произведение степеней
8081,Найдите значение выражения $\dfrac{\sqrt{5} \cdot \sqrt{6}}{\sqrt{2 \cdot 15}}$.,1,под один корень и сократить дробь
2415,Найдите значение выражения $36\cdot \left(\dfrac{5}{6} - \dfrac{7}{36} - \dfrac{9}{12} \right)$.,-4,умножить 36 на все слагаемые в скобках
4965,"Установите соответствие между величинами и их возможными значениями: к~каждому элементу первого столбца подберите соответствующий элемент из~второго столбца.

\vspace{\medskip}

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
ВЕЛИЧИНЫ & ЗНАЧЕНИЯ \\
А) масса таблетки лекарства & 1) $3,3464\cdot 10^{-27}$ кг \\
Б) масса Земли & 2) 100 т \\
В) масса молекулы водорода & 3) 500 мг \\
Г) масса взрослого кита & 4) $5,9726\cdot 10^{24}$ кг \\
\end{tabular}\end{center}

\vspace{\medskip}


В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",3412,сопоставить
7643,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и их решениями.


\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $\log _{4} x>1$ & 1) $0<x<\dfrac{1}{4} $ \\ 
Б) $\log _{4} x>-1$ & 2) $x>\dfrac{1}{4} $ \\ 
В) $\log _{4} x<-1$ & 3) $0<x<4$ \\ 
Г) $\log _{4} x<1$ & 4) $x>4$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & & \\ \hline\end{tabular}\end{center}\vspace{\medskip}",4213,пропотенцировать и сопоставить
10661,"Из книги выпало несколько идущих подряд листов. Номер последней страницы перед выпавшими листами~--- 274, 
номер первой страницы после выпавших листов записывается теми же цифрами, но в другом порядке. 
Сколько листов выпало?",76,"выпали страницы с нечетной по четную, листов вдвое меньше"
2851,Найдите значение выражения $9\cdot 10^{2} +3\cdot 10 +7\cdot 10^{3}$.,7930,перевести в десятичную запись
11878,"Про натуральные числа $A$, $B$ и $C$ известно, что каждое из них больше~5, но~меньше 9. Загадали натуральное число, затем его умножили на $A$, потом прибавили к полученному произведению $B$ и вычли $C$. Получилось 340. Какое число было загадано?",57,"разложить числа от 340-2 до +2 на множители и выбрать кратное 6, 7,8."
3509,"Для обслуживания международного семинара необходимо собрать группу переводчиков. Сведения о кандидатах представлены в таблице.

\vspace{\baselineskip}

\hyphenpenalty=10000
\begin{tabularx}{\textwidth}{|C|C|>{\centering\arraybackslash}X|} \hline
Номер переводчика & Языки & Стоимость услуг \newline (руб. в день) \\ \hline
1 & Испанский & 2850 \\ \hline
2 & Испанский, Английский & 6050 \\ \hline
3 & Английский & 1900 \\ \hline
4 & Испанский, Французский & 5950 \\ \hline
5 & Французский, Немецкий & 6800 \\ \hline
6 & Немецкий & 4050 \\ \hline
\end{tabularx}
\vspace{\medskip}
\hyphenpenalty=50


Пользуясь таблицей, соберите хотя бы одну группу, в которой переводчики вместе владеют всеми четырьмя языками: английским, немецким, испанским и французским, а суммарная стоимость их услуг не превышает 12~000~рублей в~день. В ответе укажите какой-нибудь один набор номеров переводчиков без пробелов, запятых и других дополнительных символов.","135, 346",перебор
9665,"Каждому из четырёх неравенств в левом столбце соответствует одно из решений в правом столбце. Установите соответствие между неравенствами и~их решениями.

\begin{center}
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{XX}
\multicolumn{1}{C}{НЕРАВЕНСТВА} & \multicolumn{1}{C}{РЕШЕНИЯ} \\
А) $\left(x-2\right)^{2} \left(x-4\right)<0$ & 1) $x<2$ или $2<x<4$ \\ 
Б) $\dfrac{\left(x-4\right)^{2} }{x-2} >0$ & 2) $x<2$ или $x>4$ \\
В) $\left(x-2\right)\left(x-4\right)<0$ & 3) $2<x<4$ \\ 
Г) $\dfrac{x-2}{x-4} >0$ & 4) $2<x<4$ или $x>4$ \\ 
 \end{tabularx}
\end{center}

Впишите в приведённую в ответе таблицу под каждой буквой соответствующий номер решения.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline А & Б & В & Г \\ \hline & & &  \\ \hline\end{tabular}",1432,неравенства метод интервалов и сопоставить
7505,"Среднее квадратичное трёх чисел $a$, $b$ и $c$ вычисляется по формуле $q=\sqrt{\dfrac{a^{2} +b^{2} +c^{2} }{3} }$. Найдите среднее квадратичное чисел $\sqrt{2}$, 3 и 17.",10,подставить числа в формулу
5843,Найдите значение выражения $\dfrac{\left(9\strut^{- 3} \right)^{2} }{9\strut^{- 8} } $.,81,действия со степенями
4028,"Площадь треугольника можно вычислить по формуле $S=\dfrac{abc}{4R}$, где $a$, $b$ и $c$~--- стороны треугольника, а $R$~--- радиус окружности, описанной около этого треугольника. Пользуясь этой формулой, найдите $S$, если ${a=4}$, ${b=13}$, ${c=15}$ и $R=\dfrac{65}{8}$.",24,подставить числа в формулу
9604,"Цифры четырёхзначного числа, кратного 5, записали в обратном порядке и получили второе четырёхзначное число. Затем из исходного числа вычли второе и получили 3627. В ответе укажите какое-нибудь одно такое исходное число.","8925, 8815, 8705",перебор или уравнение в цифрах
4764,"Перед волейбольным турниром измерили рост игроков волейбольной команды города N. Оказалось, что рост каждого из волейболистов этой команды больше 190 см и меньше 210 см. Выберите утверждения, которые верны при указанных условиях.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X} 
1) & В волейбольной команде города N обязательно есть игрок, рост которого равен 220 см. \\ 
2) & В волейбольной команде города N нет игроков с ростом 189 см. \\ 
3) & Рост любого волейболиста этой команды меньше 210 см. \\ 
4) & Разница в росте любых двух игроков волейбольной команды города N составляет более 20 см. \\ 
\end{tabularx}
\end{center}

В ответе запишите номера выбранных утверждений без пробелов, запятых и других дополнительных символов.",23,выбор верных утверждений
12195,"Найдите четырёхзначное число, большее 2000, но меньшее 3000, которое делится на 60 и сумма цифр которого равна 12. В ответе укажите какое-нибудь одно такое число.","2280, 2460, 2640, 2820",перебор
7034,Цена на электрический чайник была повышена на 13\% и составила 1921~рубль. Сколько рублей стоил чайник до повышения цены?,1700,число по проценту
10711,"На ленте по разные стороны от середины отмечены две тонкие поперечные полоски: синяя и красная. Если разрезать ленту по красной полоске, то одна часть будет на 35~см длиннее другой. Если разрезать ленту по синей полоске, то одна часть будет на 5~см длиннее другой. Найдите расстояние (в сантиметрах) между красной и синей полосками.",20,система уравнений
2407,Найдите значение выражения $12\cdot \left(\dfrac{13}{24}  - \dfrac{7}{12}  -  \dfrac{1}{6} \right)$.,-2.5,умножить 12 на каждую дробь в скобках
7118,"После уценки телевизора его новая цена составила 0,48 от старой цены. На~сколько процентов уменьшилась цена телевизора в результате уценки?",52,дробь в проценты
8549,Найдите корень уравнения $\dfrac{1}{\sqrt{x}}=\dfrac{1}{5}$.,25,в квадрат обе части
8417,"По тарифному плану «Просто как день» компания сотовой связи каждый вечер снимает со счёта абонента 16 рублей. Если на счёте осталось меньше 16 рублей, то на следующее утро номер блокируют до пополнения счёта. Сегодня утром у Лизы на счёте было 500 рублей. Сколько дней (включая сегодняшний) она сможет пользоваться телефоном, не пополняя счёта?",31,делить с остатком
9603,"Цифры четырёхзначного числа, кратного 5, записали в обратном порядке и получили второе четырёхзначное число. Затем из исходного числа вычли второе и получили 2457. В ответе укажите какое-нибудь одно такое исходное число.","8065, 8155, 8245, 8335, 8425, 8515, 8605",перебор или уравнение в цифрах
4438,Найдите значение выражения $\sqrt{24} \cdot \sqrt{6} $.,12,под общий корень
3659,"В начале года число абонентов телефонной компании «Юг» составляло 700 тыс. человек, а в конце года их стало 875 тыс. человек. На сколько процентов увеличилось за год число абонентов этой компании?",25,дробь в проценты
8322,"Шоколадка стоит 25 рублей. В воскресенье в супермаркете действует специальное предложение: заплатив за три шоколадки, покупатель получает четыре (одну в подарок). Сколько шоколадок можно получить на 130 рублей в воскресенье?",6,деление с остатком+ условие
7903,"Теорему синусов можно записать в виде $\dfrac{a}{\sin \alpha } =\dfrac{b}{\sin \beta } $, где $a$ и $b$~--- две стороны треугольника, а $\alpha$ и $\beta$~--- углы треугольника, лежащие против них соответственно. Пользуясь этой формулой, найдите величину $\sin \alpha$, если $a=27$, $b=20$, $\sin \beta=\dfrac{2}{3}$.",0.9,решить пропорцию
4785,Сырок стоит 18~рублей. Какое наибольшее число сырков можно купить на 250~рублей?,13,деление с остатком+ условие
2377,"Найдите значение выражения $\dfrac{13}{45} :\dfrac{26}{9} +2,5$.",2.6,от обыкновенных дробей в десятичные
4187,"В таблице приведены размеры штрафов за превышение максимальной разрешённой скорости, зафиксированное с помощью средств автоматической фиксации, установленных на территории России с 1 сентября 2013 года.

\begin{tabular}{|c|c|c|c|c|} \hline
Превышение скорости, км/ч & 21—40 & 41—60 & 61—80 & 81 и более \\ \hline
Размер штрафа, руб. & 500 & 1000 & 2000 & 5000 \\ \hline
\end{tabular}

Определите с помощью таблицы, какой штраф должен заплатить владелец автомобиля, зафиксированная скорость которого составила 75 км/ч на участке дороги с максимальной разрешённой скоростью 40 км/ч. Ответ дайте в рублях.",500,узнать данные из таблицы
9526,"Расписание поездов Москва-Минск и стоимость билетов представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|c|} \hline
Номер  & Время  & Время прибытия & Стоимость билета  \\
 поезда& отправления& (на следующие сутки)& (руб.) \\\hline
1 & 14:09 & 00:28 & 357 \\\hline
2 & 14:19 & 00:02 & 714 \\\hline
3 & 18:37 & 04:14 & 357 \\\hline
4 & 19:24 & 06:10 & 536 \\\hline
5 & 21:47 & 06:19 & 666 \\\hline
6 & 21:53 & 07:25 & 714 \\\hline
7 & 22:25 & 08:12 & 357 \\\hline
\end{tabular}
\end{center}

Вадиму Алексеевичу нужно доехать в Минск из Москвы поездом. При этом ему необходимо приехать в Минск не позже 07:00, в пути провести не более 10 часов и потратить на билет не больше 2000 рублей.

В ответе укажите какой-нибудь один номер подходящего поезда.",235,время в пути
4975,"Установите соответствие между величинами и их возможными значениями: к каждому элементу первого столбца подберите соответствующий элемент из второго столбца.
\begin{center}
\begin{tabular}{p{8cm}p{0.1cm}p{4.9cm}}
\multicolumn{1}{c}{ВЕЛИЧИНЫ} & & ЗНАЧЕНИЯ \\ 
А) масса таблетки лекарства & 1) & $3,3464\cdot 10^{-27}$ кг \\
Б) масса Земли & 2) & 5 т \\
В) масса молекулы водорода & 3) & 500 мг \\
Г) масса взрослого слона & 4) & $5,9726\cdot 10^{24}$ кг \\
\end{tabular}
\end{center}

В таблице под каждой буквой, соответствующей величине, укажите номер её возможного значения.

\vspace{\medskip}

\begin{tabular}{|*{4}{c|}} \hline
А & Б & В & Г \\ \hline
 &  &  &  \\ \hline
\end{tabular}",3412,соответствие
2565,Найдите значение выражения $\left(\dfrac{14}{11} +\dfrac{17}{10} \right)\cdot \dfrac{11}{15}$.,2.18,от обыкновенных дробей к десятичным
135,"Сергей Петрович хочет купить в интернет-магазине микроволновую печь определённой модели. В таблице показано 6 предложений от разных интернет-магазинов.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Номер магазина & Рейтинг магазина & Стоимость товара (руб.) & Стоимость доставки (руб.) \\ \hline
1 & 4 & 17980 & 490 \\ \hline
2 & 5 & 20490 & 500 \\ \hline
3 & 4,5 & 18890 & 400 \\ \hline
4 & 4 & 17490 & 0 \\ \hline
5 & 3,5 & 13979 & 690 \\ \hline
6 & 5 & 17750 & 600 \\ \hline
\end{tabularx}
\end{center}

Сергей Петрович считает, что покупку нужно делать в магазине, рейтинг которого не ниже 4. Среди магазинов, удовлетворяющих этому условию, выберите предложение с самой низкой стоимостью покупки с учётом доставки.

В ответе запишите номер выбранного магазина.",17490,узнать данные из таблицы+ сравнение
6885,Число посетителей сайта увеличилось за~месяц вдвое. На~сколько процентов увеличилось число посетителей сайта за~этот месяц?,100,дробь в проценты
12130,"На прилавке цветочного магазина стоят 3 вазы с розами: жёлтая, зелёная и красная. Слева от зелёной вазы 21 роза, справа от жёлтой вазы 31 роза. Всего в вазах 40 роз. Сколько роз в красной вазе?",12,формула включений - исключений
8502,"Система навигации самолёта информирует пассажира о том, что полёт проходит на высоте 41~000 футов. Выразите высоту полёта в метрах. Считайте, что 1 фут равен 30,5 см.",12505,футы в метры
8719,"На птицеферме есть только куры и гуси, причём кур в 99 раз больше, чем гусей. Найдите вероятность того, что случайно выбранная на этой ферме птица окажется гусем.",0.01,вероятность по определению
4801,В пачке 250~листов бумаги формата А4. За неделю в офисе расходуется 700~листов. Какого наименьшего количества пачек бумаги хватит на 8~недель?,22.4,деление с остатком+ условие
10491,Найдите значение выражения $\dfrac{\left(8\sqrt{3} \right)\strut^{2} }{48}$.,4,выполнить действия
6089,"Найдите трёхзначное число $A$, обладающее тремя свойствами: 

\begin{itemize}
\item сумма цифр числа $A$ делится на 6;
\item сумма цифр числа $A+3$ делится на 6;
\item число $A$ больше 350 и меньше 400. 
\end{itemize}

В ответе укажите какое-нибудь одно такое число.","369, 378, 387",перебор
8269,"Выпускники 11 <<А>> покупают букеты цветов для последнего звонка: из 3 роз каждому учителю и из 9 роз классному руководителю и директору. Они собираются подарить букеты 15 учителям (включая директора и классного руководителя), розы покупаются по оптовой цене 35 рублей за штуку. Сколько рублей стоят все розы?",1995,подсчеты
5186,Найдите корень уравнения $6\strut^{x-12} =\dfrac{1}{36} $.,10,к основанию 6
12101,Среднее арифметическое четырёх различных натуральных чисел равно 11. Среднее арифметическое этих чисел и пятого числа равно 12. Чему равно пятое число?,16,использовать определение среднего
10974,"В параллелограмме $ABCD$ известно, что $AB=6$, $AC=BD=10$. Найдите площадь параллелограмма.",48,"прямоугольник, теорема пифагора, площадь"
8407,"Стоимость полугодовой подписки на журнал составляет 590 рублей, а стоимость одного номера журнала --- 27 рублей. За полгода Аня купила 25 номеров журнала. На сколько рублей меньше она бы потратила, если бы подписалась на журнал?",85,подсчеты
7030,Цена на электрический чайник была повышена на 16\% и составила 2320~рублей. Сколько рублей стоил чайник до повышения цены?,2000,число по проценту
10090,"В таблице три столбца и несколько строк. В каждую клетку таблицы вписали по натуральному числу так, что сумма
всех чисел в первом столбце равна 127, во втором~--- 136, в третьем~--- 146, а сумма чисел в каждой строке больше 17, но меньше 20. Сколько всего строк в таблице?",22,оценка в целых числах
4167,"Площадь поверхности прямоугольного параллелепипеда с рёбрами~$a$, $b$ и $c$ вычисляется по формуле~$S=2\left(ab+ac+bc\right)$. Найдите площадь поверхности прямоугольного параллелепипеда, если его рёбра имеют длины 3, 5 и 9.",174,подставить числа в формулу
12340,"Установите соответствие между функциями и характеристиками этих функций на отрезке $\left[2;5\right]$.

\begin{center}
\begin{tabularx}{\textwidth}{clcX} 
\multicolumn{2}{c}{ФУНКЦИИ} & \multicolumn{2}{c}{ХАРАКТЕРИСТИКИ} \\ 
А) & $y=5x-x^{2}$ & 1) & функция убывающая \\ 
Б) & $y=2x+1$  & 2) & функция имеет точку максимума \\ 
В) & $y=16-2x$  & 3) & функция имеет точку минимума  \\ 
Г) & $y=x^{2}-8x+3$  & 4) & функция возрастающая \\ 
\end{tabularx}
\end{center}

\vspace{\baselineskip}
В таблице под каждой буквой укажите соответствующий номер.

\vspace{\baselineskip}
\begin{tabular}{|*{4}{C|}} \hline 
 А & Б & В & Г \\ \hline 
& & & \\ \hline
\end{tabular}",2413,сопоставить
156,"Дмитрий Валентинович собирается в туристическую поездку на трое суток в некоторый город. В таблице дана информация о гостиницах в этом городе со свободными номерами на время его поездки.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Название\newline гостиницы & Рейтинг\newline гостиницы & Расстояние\newline до центральной площади (км) & Цена номера\newline (руб. за сутки) \\ \hline
«Южная» & 7,6 & 1,1 & 3000 \\ \hline
«Уют-плюс» & 5,3 & 1,9 & 2500 \\ \hline
«Центральная» & 9,4 & 3,4 & 3800 \\ \hline
«Вокзальная» & 6,9 & 2,3 & 1600 \\ \hline
«Турист» & 8,8 & 2,4 & 3200 \\ \hline
«Эльдорадо» & 9,1 & 2,1 & 3300 \\ \hline
\end{tabularx}
\end{center}

Дмитрий Валентинович хочет остановиться в гостинице, которая находится не далее 2,5 км от центральной площади и рейтинг которой не ниже 8,5. Среди гостиниц, удовлетворяющих этим условиям, выберите предложение с наименьшей ценой номера за сутки. Сколько рублей стоит проживание в этой гостинице в течение 3 суток?",9600,извлечь данные изтаблицы
4257,"Площадь треугольника со сторонами~$a$, $b$, $c$ можно найти по формуле Герона $S=\sqrt{p\left(p-a\right)\left(p-b\right)\left(p-c\right)} $, где $p=\dfrac{a+b+c}{2} $. Найдите площадь треугольника,\rule{0pt}{14pt} если длины его сторон равны 13, 14, 15.",84,подставить числа в формулу
13578,"Два человека отправляются из одного дома на прогулку до опушки леса, находящейся в 1,1 км от дома. Один идёт со скоростью 3,5 км/ч, а другой~--- со скоростью 4,2 км/ч. Дойдя до опушки, второй с той же скоростью возвращается обратно. На каком расстоянии от дома произойдёт их встреча? Ответ дайте в километрах.",1,составить уравнение
3423,"Интернет-провайдер предлагает три тарифных плана.

\vspace{\baselineskip}

\hyphenpenalty=10000
\begin{tabularx}{\textwidth}{|C|>{\centering\arraybackslash}X|>{\centering\arraybackslash}X|} \hline
Тарифный план & Абонентская плата & Плата за трафик \\ \hline
План ""0"" & Нет & 1,1~руб. за 1~Мбайт \\ \hline
План ""500"" & 525~руб. за 500~Мбайт\newline трафика в~месяц & 1~руб. за 1~Мбайт\newline сверх 500~Мбайт \\ \hline
План ""900"" & 738~руб. за 900~Мбайт\newline трафика в~месяц & 0,5~руб. за 1~Мбайт\newline сверх 900~Мбайт \\ \hline
\end{tabularx}
\vspace{\medskip}

Пользователь предполагает, что его трафик составит 750~Мбайт в месяц, и исходя из этого выбирает наиболее дешёвый тарифный план. Сколько рублей должен будет заплатить пользователь за месяц, если его трафик действительно будет равен 750~Мбайт?",738,извлечь данные из таблицы
8570,"Решите уравнение $x^{2} -25=0$. Если уравнение имеет более одного корня, в ответе укажите меньший из них.",-5,решить квадратное уравнение
8173,На день рождения полагается дарить букет из нечётного числа цветов. Розы стоят 80 рублей за штуку. У Вани есть 300 рублей. Из какого наибольшего числа роз он может купить букет Маше на день рождения?,3,деление с остатком+ условие
6406,"Даны два конуса. Радиус основания и~высота первого конуса равны соответственно 3 и~4, а второго~--- 2 и~9. Во сколько раз объём второго конуса больше объёма первого?",1,отношение обьемов
2548,Найдите значение выражения $3\dfrac{1}{2} :\left(1\dfrac{4}{15} +2\dfrac{9}{10} \right)$.,0.84,"действия с обыкновенными дробями, в десятичные"
8714,"На птицеферме есть только куры и гуси, причём кур в 7 раз больше, чем гусей. Найдите вероятность того, что случайно выбранная на этой ферме птица окажется гусем.",0.125,вероятность по определению
7113,"Набор полотенец, который стоил 280 рублей, продаётся со скидкой 15\%. Сколько рублей стоят два набора полотенец со скидкой?",476,процент от числа
177,"Дмитрий Валентинович собирается в туристическую поездку на трое суток в некоторый город. В таблице дана информация о гостиницах в этом городе со свободными номерами на время его поездки.

\begin{center}
\begin{tabularx}{\textwidth}{|*{4}{>{\centering\arraybackslash}X|}} \hline
Название\linebreak гостиницы & Рейтинг\linebreak гостиницы & Расстояние\linebreak до центральной площади (км) & Цена номера\linebreak (руб. за сутки) \\ \hline
«Южная» & 9,2 & 2,3 & 3600 \\ \hline
«Уют-плюс» & 8,5 & 0,5 & 3700 \\ \hline
«Центральная» & 7,3 & 1,2 & 2400 \\ \hline
«Вокзальная» & 8,7 & 3,7 & 3600 \\ \hline
«Турист» & 5,8 & 2,7 & 1900 \\ \hline
«Эльдорадо» & 6,2 & 3,2 & 1500 \\ \hline
\end{tabularx}
\end{center}

Дмитрий Валентинович хочет остановиться в гостинице, которая находится не далее 2,5 км от центральной площади и рейтинг которой не ниже~8,5. Среди гостиниц, удовлетворяющих этим условиям, выберите гостиницу с~наименьшей ценой номера за сутки. Сколько рублей стоит проживание в~этой гостинице в течение трёх суток?",10800,извлечь данные из таблицы
10076,"Прямоугольник разбит на четыре маленьких прямоугольника двумя прямолинейными разрезами. Периметры трёх из них, начиная с левого верхнего и далее по часовой стрелке равны 21, 11 и 4. Найдите периметр четвёртого прямоугольника.",14,р1+р3=р2+р4
1001,"Найдите корень уравнения $2^{2x\; -\; 3} =2^{x\; -\; 2}$ .

 \textbf{}",1,убрать основание
4442,Найдите значение выражения $\sqrt{63} \cdot \sqrt{7} $.,21,под  один корень 
11973,Найдите корень уравнения $2x-7=9$.,8,решить уравнение
2475,Найдите значение выражения $\dfrac{1}{\dfrac{1}{3} +\dfrac{1}{7} }$.,2.1,от обыкновенных дробей к десятичным
4255,"Площадь треугольника со сторонами~$a$, $b$, $c$ можно найти по формуле Герона $S=\sqrt{p\left(p-a\right)\left(p-b\right)\left(p-c\right)} $, где $p=\dfrac{a+b+c}{2} $. Найдите площадь треугольника,\rule{0pt}{14pt} если длины его сторон равны 5, 29, 30.",72,подставить числа в формулу
2299,Найдите значение выражения $\left(-3\right)+5\dfrac{2}{5} +\dfrac{1}{25}$.,2.44,от обыкновенных дробей к десятичным
9294,"Турист, прибывший в Санкт-Петербург, хочет посетить 4 музея: Эрмитаж, Русский музей, Петропавловскую крепость и Исаакиевский собор. Экскурсионные кассы предлагают маршруты с посещением одного или нескольких объектов. Сведения о стоимости билетов и маршрутах представлены в таблице.

\begin{center}
\begin{tabular}{|c|c|c|}
\hline
Номер&Посещаемые&Стоимость\\
маршрута&объекты&(руб.)\\\hline
1&Эрмитаж&300\\\hline
2&Петропавловская крепость, Исаакиевский собор&1350\\\hline
3&Исаакиевский собор&300\\\hline
4&Эрмитаж, Русский музей&1400\\\hline
5&Петропавловская крепость, Русский музей&1650\\\hline
6&Русский музей&650\\\hline
\end{tabular}
\end{center}

Какие маршруты должен выбрать путешественник, чтобы посетить все четыре музея и затратить на все билеты наименьшую сумму?

В ответе укажите какой-нибудь один набор номеров маршрутов без пробелов, запятых и других дополнительных символов.",2250,извлечь данные из таблицы
